cyberpunk: edgerunners,3,4852,cyberpunk edgerunners,サイバーパンク:エッジランナーズ
dungeon and fighter,3,4840,,アラド戦記
warhammer 40k,3,4832,,"ウォーハンマー40,000"
phantom blood,3,4830,,ファントムブラッド
kid icarus,3,4807,,パルテナの鏡
bemani,3,4785,,ベマイ
inazuma eleven,3,4743,,イナズマイレブン
pokemon horizons,3,4720,pokemon sv (anime),ポケットモンスター(アニポケ第8シリーズ)
the legend of zelda: ocarina of time,3,4670,,ゼルダの伝説_時のオカリナ
pokemon adventures,3,4642,,ポケスペ
idolmaster side-m,3,4618,,アイドルマスターSideM
pokemon tcg,3,4602,,ポケモンカードゲーム
cyberpunk: edgerunners 1,3,4580,,
hazbin hotel,3,4571,,ハズビン・ホテル
sekaiju no meikyuu,3,4506,,世界樹の迷宮
spice and wolf,3,4497,,狼と香辛料
mcdonald's,3,4493,,マクドナルド
fairy tail,3,4480,,フェアリーテイル
yu-gi-oh! duel monsters,3,4474,yugioh duel monsters,遊☆戯☆王デュエルモンスターズ
my little pony,3,4451,,マイリトルポニー
vrchat,3,4437,,VRチャット
os-tan,3,4432,,OSたん
fire emblem: the binding blade,3,4412,,封印の剣
my little pony: friendship is magic,3,4358,,マイリトルポニー〜トモダチは魔法
street fighter v,3,4357,,ストリートファイターV
yu-gi-oh! gx,3,4326,,遊戯王GX女性向け
toradora!,3,4324,,とらドラ!
suite precure,3,4318,suite pretty cure,スイートプリキュア♪
shadowverse,3,4304,,シャドウバース
metal gear (series),3,4292,,メタルギアシリーズ
reitaisai,3,4278,,例大祭
zeta gundam,3,4260,,機動戦士Ζガンダム
shining nikki,3,4254,,シャイニングニキ
mahjong soul,3,4247,,じゃんたま
gundam build fighters,3,4242,,ガンダムビルドファイターズ
pokemon the series: sun & moon,3,4193,"pokemon sm (anime),pokemon sun and moon (anime)",ポケットモンスターサン&ムーン
final fantasy vii rebirth,3,4174,,FF7リバース
shingeki no bahamut,3,4136,,神撃のバハムート
fate/strange fake,3,4120,,ストレンジフェイク
mega man zero (series),3,4110,mega man zero,ロックマンゼロ
star ocean,3,4101,,スターオーシャン
youkai watch,3,4100,,妖怪ウォッチ
urusei yatsura,3,4096,,うる星やつら
final fantasy vi,3,4081,,ファイナルファンタジーvi
tate no yuusha no nariagari,3,4070,,盾の勇者の成り上がり
ado (utaite),3,4062,ado (singer),アド
meitantei precure!,3,4050,"meitantei pretty cure!,star detective precure!,star detective pretty cure!",名探偵プリキュア!
final fantasy vii: ever crisis,3,4048,final fantasy vii ever crisis,エバークライシス
shin megami tensei,3,4030,,真・女神転生シリーズ
summer pockets,3,4024,,サマポケ
black survival,3,4021,,ブラックサバイバル
fate/hollow ataraxia,3,4016,,フェイト/ホロウアタラクシア
ambience synesthesia,3,4009,,音律联觉
kuro no kiseki (series),3,4006,,
sennen sensou aigis,3,3988,,千年戦争アイギス
zombie land saga,3,3986,,ゾンビランドサガ
eromanga sensei,3,3985,,エロマンガ先生
koi suru kokoro to mahou no kotoba,3,3978,,恋するココロと魔法のコトバ
avatar legends,3,3973,avatar: the last airbender (series),降世神通
dragon quest iii,3,3964,,ドラゴンクエスト3
final fantasy xi,3,3963,,ファイナルファンタジーxi
alice gear aegis,3,3953,,アリスギアアイギス
bloodborne,3,3951,,ブラッドボーン
boruto (series),3,3943,,
infinite stratos,3,3939,,インフィニット・ストラトス
evangelion: 3.0 you can (not) redo,3,3939,,ヱヴァンゲリヲン新劇場版:q
voicevox,3,3932,,VoiceVox
tales of vesperia,3,3902,,テイルズ・オブ・ヴェスペリア
project diva (series),3,3890,,Project Diva（シリーズ）
bleach: sennen kessen-hen,3,3888,bleach: the thousand-year blood war,千年血戦篇
chuunibyou demo koi ga shitai!,3,3863,,中二病でも恋がしたい!
identity v,3,3855,,identityVイラスト
hollow knight,3,3812,,ホロウナイト
pokemon red/green/blue/yellow,3,3810,pokemon rgby,ポケモンRGB
baldur's gate,3,3774,,バルダーズ・ゲート
muv-luv,3,3771,muvluv,マブラヴ
ultra series,3,3768,,ウルトラシリーズ
final fantasy ix,3,3767,,ファイナルファンタジーIX
melty blood,3,3749,,メルティブラッド
baldur's gate 3,3,3734,,バルダーズ・ゲートIII
fire emblem: the sacred stones,3,3718,,聖魔の光石
samurai spirits,3,3709,,サムライスピリッツ
zero no tsukaima,3,3707,,ゼロの使い魔
boku wa tomodachi ga sukunai,3,3688,,僕は友達が少ない
gundam seed destiny,3,3654,,機動戦士ガンダムSEEDDESTINY
pikmin (series),3,3648,,ピクミン
kid icarus uprising,3,3634,,新・光神話パルテナの鏡
hyouka,3,3626,,氷菓
stella sora,3,3609,,ステラソラ
arcane: league of legends,3,3579,league of legends arcane,アーケイン
soul eater,3,3557,,ソウルイーター
fresh precure!,3,3531,,フレッシュプリキュア
mahou sensei negima!,3,3492,,魔法先生ネギま!
shinrabanshou,3,3466,,神羅万象チョコ
street fighter zero (series),3,3464,,ストリートファイターzero
pokemon journeys,3,3454,pokemon swsh (anime),ポケットモンスター(アニポケ第7シリーズ)
mega man zx,3,3443,,ロックマンゼクス
the amazing digital circus,3,3440,,アメイジングデジタルサーカス
overlord (maruyama),3,3428,,オーバーロード(アニメ)
yu-gi-oh! 5d's,3,3421,,遊戯王5D's女性向け
project voltage,3,3417,,ポケミク
love and deepspace,3,3411,,恋と深空
final fantasy viii,3,3406,,ファイナルファンタジーVIII
maria-sama ga miteru,3,3399,,マリア様がみてる
tokyo ghoul,3,3395,,東京グール
eternal return: black survival,3,3393,,エターナルリターン
azumanga daioh,3,3370,,あずまんが大王
fire emblem echoes: shadows of valentia,3,3364,,ファイアーエムブレムEchoesもうひとりの英雄王
death note,3,3336,,デスノート
fate/prototype,3,3328,,運命/プロトタイプ
cookie run: kingdom,3,3314,,クッキーランキングダム
nichijou,3,3313,,日常(あらゐけいいち)
boruto: naruto next generations,3,3305,,Boruto：NARUTO-次の世代
futari wa precure,3,3303,,ふたりはプリキュア
umamusume: cinderella gray,3,3303,,ウマ娘シンデレラグレイ
girlfriend (kari),3,3301,,ガールフレンド(仮)
mother (series),3,3298,mother (game),MOTHERシリーズ
senran kagura new link,3,3280,,シノビマスター閃乱カグラNewLink
rabbit hole (vocaloid),3,3277,,ラビットホール
chaos;head,3,3254,,カオスヘッド
kara no kyoukai,3,3248,,空の境界
kanon,3,3245,,カノン
22/7,3,3241,,ナナブンノニジュウニ
wonderful precure!,3,3233,"wonderful precure,wonderful pretty cure,wonderful pretty cure!",わんだふるぷりきゅあ!
mihoyo,3,3227,mihoyo technology (shanghai) co. ltd.,米哈游
emil chronicle online,3,3225,,エミルクロニクルオンライン
yuri!!! on ice,3,3201,,ユーリ!!!onICE
go! princess precure,3,3193,"go! princess pretty cure,go princess pretty cure",Go!プリンセスプリキュア
holostars english,3,3192,,ホロスターズEnglish
resident evil 4,3,3191,,バイオハザード4
closers,3,3190,,クローザーズ
evangelion: 2.0 you can (not) advance,3,3182,,ヱヴァンゲリヲン新劇場版:破
twitter,3,3170,x (website),ツイッター
sayonara zetsubou sensei,3,3157,,さよなら絶望先生
wizarding world,3,3155,,ウィザーディング・ワールド
pokemon gold/silver/crystal,3,3140,pokemon gsc,ポケモンGS
oshiro project:re,3,3138,"oshiro project,oshiro project re,shiropro,shiropro:re",御城プロジェクト:RE
komi-san wa komyushou desu,3,3137,,古見さんは、コミュ症です。
grimms notes,3,3133,,グリムノーツ
yes! precure 5,3,3107,,Yes!プリキュア5
inuyasha,3,3105,,犬夜叉
danganronpa 3 (anime),3,3099,,ダンガンロンパ3
spider-verse,3,3098,,蜘蛛宇宙
final fantasy vii: advent children,3,3084,final fantasy vii advent children,アドベントチルドレン
happinesscharge precure!,3,3082,"happiness charge pretty cure,happiness charge pretty cure!,happinesscharge pretty cure,happinesscharge pretty cure!",ハピネスチャージプリキュア!
shakugan no shana,3,3074,,灼眼のシャナ
promare,3,3022,,プロメア
ikkitousen,3,3022,,一騎当千
persona 3 portable,3,3009,,ペルソナ3ポータブル
poptepipic,3,3007,,ポプテピピック
make heroine ga oo sugiru!,3,3000,"makeine,too many losing heroines!",負けヒロインが多すぎる!
warcraft,3,2995,,ウォークラフト
soulcalibur,3,2983,,ソウルキャリバー
dark souls i,3,2966,,ダークソウル
magical mirai (vocaloid),3,2957,,マジカルミライ
